query_id,condition,seed,correct_rank,top5_hit,top10_hit,effective_mse,psnr,max_abs_delta,clipped_fraction,region_mode,caption_source,steps,epsilon
manila_query_-3H2xPWPOqn_dCF2Lz5EtQ,geoshield_published_fullframe,1234,206,0,0,15.680001,36.1773,9.7646,0.002827,fullframe,published,100,8.0
nairobi_query_-f7xKWoDFjaXHyTtnRqVKw,clean,1234,131,0,0,0.000000,138.1308,0.0000,0.021658,fullframe,published,100,8.0
nairobi_query_-f7xKWoDFjaXHyTtnRqVKw,isotropic,1234,107,0,0,15.679997,36.1773,16.7926,0.021707,fullframe,published,100,8.0
nairobi_query_-f7xKWoDFjaXHyTtnRqVKw,geoshield_published_fullframe,1234,78,0,0,15.680000,36.1773,10.1067,0.010211,fullframe,published,100,8.0
toronto_query_-4mlNvZUZnbmRaGbiIndoA,clean,1234,1,1,1,0.000000,138.1308,0.0000,0.006217,fullframe,published,100,8.0
toronto_query_-4mlNvZUZnbmRaGbiIndoA,isotropic,1234,1,1,1,15.680000,36.1773,16.8620,0.025228,fullframe,published,100,8.0
toronto_query_-4mlNvZUZnbmRaGbiIndoA,geoshield_published_fullframe,1234,1,1,1,15.680000,36.1773,9.7614,0.003228,fullframe,published,100,8.0
zurich_query_-71-BK_yAOJ1soK0OQWIcg,clean,1234,76,0,0,0.000000,138.1308,0.0000,0.001107,fullframe,published,100,8.0
zurich_query_-71-BK_yAOJ1soK0OQWIcg,isotropic,1234,43,0,0,15.679997,36.1773,16.6814,0.007992,fullframe,published,100,8.0
zurich_query_-71-BK_yAOJ1soK0OQWIcg,geoshield_published_fullframe,1234,86,0,0,15.679998,36.1773,9.2615,0.000581,fullframe,published,100,8.0
amman_query_-EAmCN9i5BGEadZIccXEyA,clean,1234,14,0,0,0.000000,138.1308,0.0000,0.001345,fullframe,published,100,8.0
amman_query_-EAmCN9i5BGEadZIccXEyA,isotropic,1234,15,0,0,15.679998,36.1773,16.6507,0.004297,fullframe,published,100,8.0
