query_id,backbone,map,n_probes,spearman_vs_jacobian,topdecile_jaccard_vs_jacobian,topdecile_concentration,gini,pred_margin_sd,obs_margin_sd,pred_over_obs,rank_flip_rate,clean_margin,energy_preclamp,energy_postclamp,clamp_loss_frac,jacobian_split_half_spearman
nairobi_query_-dn1KaWvGY9H5JRLNtaYPg,resnet18,margin_gradient,128,0.6147274206850284,0.3075122366460949,0.6415806706397815,0.4355269560962922,0.016499941994475235,0.005309907027751076,3.107388115882608,0.09375,0.0022755861282348633,2951073.1875,2820547.3515625,0.044229955560022856,0.9814036729523676
nairobi_query_-dn1KaWvGY9H5JRLNtaYPg,resnet18,uniform,128,nan,0.03783783783783784,0.1,0.0,0.004932727898940984,0.002178008446140094,2.2647882324252935,0.0625,0.0022755861282348633,2950997.84375,2738498.96875,0.0720091596983228,0.9814036729523676
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,resnet18,jacobian_colnorm,128,1.0,1.0,0.43359917771420114,0.30129577508056427,0.007484711633210237,0.003656662111600708,2.0468699061543303,0.59375,0.0030447840690612793,2947209.34375,2699259.6875,0.08413031696435629,0.9829575220688557
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,resnet18,score_gradient,128,0.6383755511884033,0.29374605180037905,0.6187151369483286,0.43996901697238533,0.009329905358694962,0.0050894855194049725,1.8331725914382304,0.625,0.0030447840690612793,2947659.703125,2743677.5234375,0.06920140051147886,0.9829575220688557
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,resnet18,margin_gradient,128,0.6297070049040361,0.29320143127762577,0.6082658659330779,0.4331390529261976,0.011971346630296403,0.004745354614463559,2.522750690498124,0.4375,0.0030447840690612793,2945924.140625,2728496.640625,0.07380621143688755,0.9829575220688557
toronto_query_-4IVXvKV2D8brXjQPZ1GRA,resnet18,uniform,128,nan,0.05277587388622344,0.1,0.0,0.004062295503997184,0.002401870362996656,1.6913050623302268,1.0,0.0030447840690612793,2949627.1953125,2728330.859375,0.07502518836589946,0.9829575220688557
zurich_query_-4StYjY5sT1S23ls5heCbg,resnet18,jacobian_colnorm,128,1.0,1.0,0.6364421136754953,0.4589566342485467,0.01611281524331133,0.0042374833092675476,3.8024492528553324,0.0,0.012555718421936035,2951012.40625,2868148.8984375,0.02807968805451375,0.9933107792069368
zurich_query_-4StYjY5sT1S23ls5heCbg,resnet18,score_gradient,128,0.7792751408564821,0.3394375408763898,0.6868943255002596,0.4967708069765908,0.018954543993527476,0.006358109177824936,2.9811605091077866,0.0,0.012555718421936035,2948253.34375,2703678.421875,0.08295587025907193,0.9933107792069368
zurich_query_-4StYjY5sT1S23ls5heCbg,resnet18,margin_gradient,128,0.7653272350033088,0.37219430485762145,0.7058090185459406,0.5007858182800231,0.02285111286258937,0.00617645732977177,3.6997119291090055,0.0,0.012555718421936035,2941560.2109375,2756238.8671875,0.06300103702141678,0.9933107792069368
zurich_query_-4StYjY5sT1S23ls5heCbg,resnet18,uniform,128,nan,0.0073782587309394985,0.1,0.0,0.006491787932899094,0.0034952023085991187,1.8573425397801966,0.0,0.012555718421936035,2947252.359375,2775598.3671875,0.05824204080844345,0.9933107792069368
